H Sym,V Sym,Dens,Dens_0_0,Dens_0_1,Dens_0_2,Dens_0_3,Dens_1_0,Dens_1_1,Dens_1_2,Dens_1_3,Dens_2_0,Dens_2_1,Dens_2_2,Dens_2_3,Dens_3_0,Dens_3_1,Dens_3_2,Dens_3_3,num_x_intersects_0,num_y_intersects_0,num_x_intersects_1,num_y_intersects_1,label
0.7296006944444445,0.6540152949954084,0.20397727272727273,0.0,0.14242424242424243,0.45151515151515154,0.0,0.36666666666666664,0.3181818181818182,0.37575757575757573,0.403030303030303,0.05454545454545454,0.13333333333333333,0.08181818181818182,0.021212121212121213,0.0,0.03939393939393939,0.7424242424242424,0.13333333333333333,2,1,1,1,fancyDivide
0.7945529656624443,0.6909209987774888,0.17997994652406418,0.0,0.2620320855614973,0.2620320855614973,0.0,0.3048128342245989,0.32085561497326204,0.38235294117647056,0.28342245989304815,0.034759358288770054,0.13101604278074866,0.07754010695187166,0.013368983957219251,0.0,0.0,0.6684491978609626,0.13903743315508021,2,0,1,1,fancyDivide
0.7372334469458663,0.6909209987774888,0.17997994652406418,0.0,0.00267379679144385,0.5213903743315508,0.0,0.2620320855614973,0.3235294117647059,0.37433155080213903,0.3315508021390374,0.034759358288770054,0.13101604278074866,0.07754010695187166,0.013368983957219251,0.0,0.12566844919786097,0.6737967914438503,0.008021390374331552,2,0,1,1,fancyDivide
0.8916208226807892,0.8509155890240815,0.08269348894348895,0.07002457002457002,0.17076167076167076,0.0,0.0,0.0,0.32186732186732187,0.2714987714987715,0.0,0.0,0.07371007371007371,0.044226044226044224,0.0,0.0,0.0,0.07493857493857493,0.29606879606879605,2,0,1,1,fancyDivide
0.9003422004132235,0.8509155890240815,0.08269348894348895,0.0,0.0,0.06388206388206388,0.1769041769041769,0.0,0.24324324324324326,0.3488943488943489,0.0012285012285012285,0.0,0.0773955773955774,0.04054054054054054,0.0,0.030712530712530713,0.3402948402948403,0.0,0.0,2,0,1,1,fancyDivide
0.8689467573302785,0.8160274315781396,0.21195894689870592,0.0,0.525,0.3769230769230769,0.0,0.1684981684981685,0.23469387755102042,0.29304029304029305,0.3877551020408163,0.2564102564102564,0.25510204081632654,0.18681318681318682,0.05782312925170068,0.0,0.0,0.336996336996337,0.30952380952380953,1,1,1,1,fancyDivide
0.834883130430527,0.8387158676794757,0.18460940536338905,0.0,0.628125,0.14666666666666667,0.0,0.13333333333333333,0.23214285714285715,0.3111111111111111,0.2708333333333333,0.1873015873015873,0.25892857142857145,0.17777777777777778,0.03273809523809524,0.0,0.0,0.26031746031746034,0.3005952380952381,1,0,1,1,fancyDivide
0.8053196449904534,0.8387158676794757,0.18460940536338905,0.0,0.28125,0.5166666666666667,0.0,0.10793650793650794,0.2261904761904762,0.2920634920634921,0.31845238095238093,0.18095238095238095,0.25892857142857145,0.17777777777777778,0.03869047619047619,0.0,0.0,0.47619047619047616,0.09821428571428571,1,0,1,1,fancyDivide
0.8761676442711699,0.925254247221036,0.08354586228124175,0.19117647058823528,0.16911764705882354,0.0,0.0,0.0,0.1876750700280112,0.24509803921568626,0.0,0.0,0.18907563025210083,0.1092436974789916,0.0,0.0,0.0,0.0,0.24897959183673468,1,0,1,1,fancyDivide
0.8995399930484437,0.925254247221036,0.08354586228124175,0.0,0.0,0.20147058823529412,0.15428571428571428,0.0,0.1330532212885154,0.29551820728291317,0.004081632653061225,0.0,0.21008403361344538,0.08823529411764706,0.0,0.0,0.25630252100840334,0.0,0.0,1,0,1,1,fancyDivide
0.8295430016331171,0.8308467183169562,0.2661179698216735,0.0,0.740625,0.26875,0.0,0.09,0.265625,0.3875,0.4625,0.38666666666666666,0.290625,0.196875,0.003125,0.0,0.0,0.7559523809523809,0.36904761904761907,0,1,1,1,fancyDivide
0.8514700036393162,0.8491233138266214,0.23613284646148497,0.0,0.8,0.09722222222222222,0.0,0.07058823529411765,0.26944444444444443,0.4083333333333333,0.32222222222222224,0.29705882352941176,0.30277777777777776,0.175,0.0,0.0,0.0,0.6507936507936508,0.3492063492063492,0,0,1,1,fancyDivide
0.7857399786617891,0.8491233138266214,0.23613284646148497,0.0,0.5027777777777778,0.39444444444444443,0.0,0.052941176470588235,0.23055555555555557,0.4,0.3861111111111111,0.2911764705882353,0.30277777777777776,0.18055555555555555,0.0,0.0,0.021164021164021163,0.828042328042328,0.15079365079365079,0,0,1,1,fancyDivide
0.906283105744569,0.9240683171778551,0.11642661179698217,0.18888888888888888,0.25972222222222224,0.0,0.0,0.0,0.20694444444444443,0.3263888888888889,0.0,0.0,0.2847222222222222,0.09444444444444444,0.0,0.0,0.0,0.14814814814814814,0.35185185185185186,0,0,1,1,fancyDivide
0.9030213372697998,0.9240683171778551,0.11642661179698217,0.0,0.0,0.4305555555555556,0.018055555555555554,0.0,0.10833333333333334,0.38333333333333336,0.041666666666666664,0.0,0.32916666666666666,0.05,0.0,0.0,0.4828042328042328,0.017195767195767195,0.0,0,0,1,1,fancyDivide
