H Sym,V Sym,Dens,Dens_0_0,Dens_0_1,Dens_1_0,Dens_1_1,num_x_intersects_0,num_y_intersects_0,num_x_intersects_1,num_y_intersects_1,label
0.7296006944444445,0.6540152949954084,0.20397727272727273,0.20681818181818182,0.30757575757575756,0.056818181818181816,0.2446969696969697,2,1,1,1,fancyDivide
0.8689467573302785,0.8160274315781396,0.21195894689870592,0.23667570009033423,0.26377597109304424,0.12786596119929453,0.22134038800705466,1,1,1,1,fancyDivide
0.8295430016331171,0.8308467183169562,0.2661179698216735,0.2814516129032258,0.2796875,0.16443745082612116,0.33689024390243905,0,1,1,1,fancyDivide
0.9069368322561793,0.608335538897616,0.20020429009193055,0.2548209366391185,0.3367768595041322,0.1063973063973064,0.10707070707070707,1,1,1,1,fancyDivide
0.7762595000192898,0.8778875236294899,0.22406832298136645,0.1577639751552795,0.22795031055900622,0.17515527950310558,0.33540372670807456,0,1,1,1,fancyDivide
0.9701063289301788,0.5843263430366618,0.20249178532311063,0.27827050997782704,0.2932372505543237,0.1396103896103896,0.10281385281385282,0,1,1,1,fancyDivide
0.881602279858634,0.7093315753597822,0.23660477453580903,0.1867732558139535,0.15856236786469344,0.22301136363636365,0.37327823691460055,0,1,1,1,fancyDivide
0.7889246173469392,0.7450415512465373,0.20175438596491227,0.3242857142857143,0.21586206896551724,0.1792857142857143,0.0910344827586207,1,1,1,1,fancyDivide
0.8686963898576678,0.7600262984878372,0.1577296489917849,0.07598039215686274,0.09982174688057041,0.16826923076923078,0.28205128205128205,0,1,1,1,fancyDivide
0.9511316236420115,0.6042542908564477,0.1660069272637308,0.24987629886194954,0.2884710539336962,0.10638297872340426,0.01929737753587333,1,1,0,1,fancyDivide
0.9018403983410495,0.6564000342935522,0.18605324074074073,0.2181712962962963,0.2667824074074074,0.20023148148148148,0.059027777777777776,1,1,1,1,fancyDivide
0.9213890230648468,0.909419935609033,0.16442816442816444,0.14833333333333334,0.13062330623306234,0.2141304347826087,0.16436903499469777,0,1,1,1,fancyDivide
0.8978508305308618,0.7411209120301292,0.15762483130904184,0.10674981658107116,0.291020555355211,0.15732758620689655,0.07627118644067797,0,1,1,1,fancyDivide
